Q0KBD2	Q9M0B6	29.224	219	127	9	1	203	88	294	8.31e-11	59.7
D4GYH5	Q68VX0	35.616	438	259	9	1	426	1	427	3.91e-85	264
P9WQC7	P41682	35.106	376	229	8	1	370	8	374	1.92e-71	225
Q94AX4	P0AEP9	29.371	429	289	7	146	566	56	478	3.38e-53	186
B8MKR3	F4G5A4	31.515	330	205	7	141	468	46	356	3.29e-37	138
Q9HDX8	Q6CSY3	33.705	448	248	10	17	421	16	457	2.49e-73	237
Q7SGY1	Q6CSY3	33.696	552	264	16	33	517	9	525	5.63e-100	310
A0A5N1I561	F4G5A4	35.735	347	217	4	21	362	13	358	1.12e-67	216
Q8NRY8	Q69BK0	27.778	162	94	5	62	213	62	210	0.029	33.9
P56954	Q5HLN0	25.670	448	281	15	7	420	9	438	1.48e-18	85.1
Q8SR40	P26172	56.667	30	13	0	56	85	3	32	0.029	34.3
Q02550	Q0SS32	29.787	188	111	11	24	205	20	192	1.20e-06	47.4
S2DJ52	Q886E0	34.694	49	30	1	4	52	262	308	0.017	34.7
P52074	Q8PVW3	24.279	416	250	18	22	404	21	404	8.59e-15	72.8
Q55GI5	Q4QKP6	25.581	129	85	6	27	150	265	387	0.032	33.9
D4GPK6	Q65R35	29.703	101	63	5	32	130	52	146	0.56	30.0
D4APX3	Q01537	26.744	86	41	4	119	192	99	174	0.82	29.6
P43310	P11344	23.944	213	110	10	219	398	207	400	0.17	32.0
O81755	O48677	33.828	337	186	3	65	399	19	320	2.06e-59	193
P38013	Q2VYJ0	30.303	66	40	3	28	92	70	130	1.3	26.6
Q9S3V0	Q39161	26.316	57	42	0	401	457	141	197	2.4	29.3
Q46508	Q37373	29.924	264	159	7	1	246	1	256	3.66e-25	107
E7FHF8	Q2S3N1	28.571	84	44	4	152	229	55	128	0.18	29.3
E7FHU4	A8LS61	28.070	57	33	2	97	152	11	60	0.15	30.4
P31883	Q3BUS4	33.333	39	26	0	96	134	121	159	0.32	30.8
P31884	Q9AHG1	32.609	46	31	0	305	350	294	339	7.9	25.8
P29166	Q37373	25.121	207	143	6	6	208	8	206	3.35e-07	50.4
Q60338	Q6P6V1	40.909	44	24	1	97	140	167	208	0.45	30.0
Q8U2E4	Q15YQ1	25.000	196	123	6	69	245	213	403	6.76e-13	65.9
P19496	Q8U4K6	21.951	82	60	1	121	198	246	327	1.0	28.9
P0ACE0	Q83PH4	26.190	84	62	0	137	220	145	228	0.21	31.6
P13063	A2S6J8	27.481	131	71	5	113	241	137	245	0.70	28.9
P13065	Q4R4P9	41.463	41	22	2	213	253	313	351	0.87	29.6
Q9HPU7	Q0HVY6	34.146	41	27	0	161	201	6	46	0.17	30.8
Q9HZ00	P63228	28.261	46	33	0	231	276	139	184	0.31	29.3
Q9S3U6	Q75FG2	25.000	84	47	4	65	144	67	138	0.78	28.5
P47177	Q8KCW4	47.222	36	19	0	267	302	338	373	0.051	33.1
Q12723	Q8KCW4	37.838	37	23	0	8	44	34	70	0.46	29.6
Q9SVS8	Q3I411	34.604	341	206	7	21	348	14	350	2.96e-70	221
Q8RWR1	Q5B681	26.829	82	56	2	28	105	572	653	3.0	27.3
A3KP59	B5BH54	28.319	113	65	7	189	290	477	584	0.95	29.6
Q84BZ3	Q60A55	26.712	146	89	7	50	188	26	160	0.012	35.0
Q9KMY3	Q5AZB4	24.896	241	160	6	155	380	64	298	5.42e-10	57.4
O85674	Q9VEZ5	24.194	62	45	1	31	90	642	703	1.1	26.9
O52380	A0A5D0EMF2	36.508	63	31	3	9	67	55	112	0.024	31.6
A0A0E4AFG7	A1TFU9	29.589	365	208	13	10	346	5	348	4.54e-26	105
O52379	Q82JR3	39.024	41	21	2	18	55	88	127	4.2	26.9
Q4L1M7	A5VL03	42.308	26	15	0	61	86	118	143	1.6	28.5
Q6Q272	C4RPA1	24.631	203	134	6	36	220	21	222	8.83e-06	45.1
B8QHP5	Q9C788	25.835	449	245	13	93	487	75	489	9.96e-31	122
C4B644	A0A3Q7HS74	26.068	234	141	7	196	400	243	473	2.89e-13	68.6
O31250	Q6KID5	28.750	80	51	2	113	186	64	143	0.29	29.6
O17446	Q5F5A9	32.000	50	33	1	315	364	303	351	0.69	29.6
P18459	P71156	29.167	72	50	1	288	358	196	267	0.75	29.6
O17554	I1RFM2	25.373	134	81	5	138	264	177	298	0.63	29.6
O01404	Q9HTE9	42.857	35	20	0	1	35	184	218	0.63	29.3
Q9ZUN4	P07920	47.557	307	146	4	11	304	4	308	3.88e-107	312
Q95XM2	A8FYW7	33.333	36	24	0	132	167	371	406	4.4	26.2
Q00024	P11344	38.000	50	29	1	247	296	353	400	0.003	37.7
C7FF04	P11344	22.594	239	118	12	90	306	207	400	0.002	37.7
A7BHQ9	P11344	23.529	238	107	9	91	297	207	400	6.28e-04	40.0
F7J186	Q60A55	35.514	107	61	3	108	212	5	105	1.76e-12	65.9
G5EGA5	Q55230	26.347	334	221	12	12	338	9	324	1.56e-22	94.7
F7J187	Q60A55	25.490	204	113	8	83	266	6	190	5.56e-11	61.2
A5JZ19	P0CN10	35.238	315	164	12	33	333	23	311	2.02e-47	161
A5JZ19	P0CN10	36.364	132	68	5	211	340	24	141	1.29e-13	68.6
Q8SV71	Q556G4	42.909	275	146	4	14	278	20	293	2.57e-61	194
Q8SV71	Q556G4	37.069	116	73	0	153	268	13	128	1.82e-22	92.4
Q21988	Q9EQ76	41.026	39	23	0	350	388	1	39	0.004	37.7
O94727	P78588	23.361	488	284	16	110	564	235	665	1.12e-18	87.0
Q17574	A0A2U1KZS6	32.927	328	187	10	369	681	400	709	2.83e-38	149
Q17574	A0A2U1KZS6	30.921	152	98	1	6	150	106	257	1.28e-13	71.6
P30341	P09622	32.391	460	296	11	9	458	43	497	1.42e-68	225
P25320	P07229	50.000	172	83	1	4	172	3	174	2.82e-60	182
Q9ZR07	B2SYY3	33.333	42	28	0	61	102	120	161	2.2	26.2
P41822	P07229	36.585	164	100	2	46	209	13	172	1.13e-21	85.1
Q5NPM9	A4YJP9	44.569	267	131	2	5	254	2	268	1.36e-67	207
Q7UJD7	B8GNX3	42.804	271	146	5	9	277	3	266	4.15e-66	204
Q3ACY8	B8HRK9	44.569	267	140	4	4	262	9	275	5.66e-77	232
A6Q367	P25814	28.358	67	41	3	374	438	5	66	0.39	29.3
Q196Z5	P50620	23.290	614	383	15	33	602	119	688	2.12e-30	124
Q6GZT8	Q9CBQ0	23.960	601	314	16	37	537	145	702	8.85e-33	130
D7REY4	P52574	29.091	55	37	1	96	148	15	69	0.35	29.3
D7REY3	F2Z9C1	24.211	95	65	3	274	361	262	356	0.24	32.0
Q72S57	B2VH04	44.695	311	159	6	4	307	2	306	2.92e-83	251
O67625	B3E441	47.482	278	142	2	4	281	3	276	2.90e-85	254
Q2GDX3	Q7NS59	44.702	302	162	4	3	301	5	304	7.23e-90	268
Q5NP65	P9WIQ1	24.510	102	59	3	6	105	12	97	0.031	33.5
Q9WZJ0	A3PF64	27.419	62	41	1	9	70	439	496	0.38	28.9
F7ZDR3	Q7CKM4	38.162	359	190	4	16	343	22	379	1.10e-81	252
Q3Z8V0	A6KZV1	39.474	38	23	0	111	148	44	81	0.049	31.2
B1XWQ5	Q1QNQ1	43.953	339	189	1	24	362	4	341	3.58e-101	300
P48360	Q180W5	25.000	104	70	3	62	157	116	219	0.037	33.9
B3QXR3	A1BHP4	41.824	318	181	4	11	325	13	329	4.42e-86	261
P51754	A5EQ82	21.751	377	244	14	84	440	73	418	2.15e-05	43.9
Q9AKT4	P71156	51.292	271	130	2	5	273	1	271	8.55e-90	266
P20620	A2BVK6	22.556	399	249	16	55	425	19	385	7.71e-07	48.9
Q0WSF1	Q56R04	31.288	489	313	12	51	529	13	488	4.76e-63	213
Q9Y9J2	A4WN38	33.140	344	217	9	1	340	3	337	2.08e-35	132
Q8CUN2	A7GSF4	47.826	345	178	2	3	346	2	345	1.14e-122	354
A0A2H4HHY6	A8EX78	32.653	49	32	1	391	438	183	231	3.1	27.7
Q54970	P0AEP7	25.134	561	378	12	4	534	2	550	2.88e-48	175
P37063	P0AEP7	26.268	552	379	12	16	544	9	555	8.76e-54	190
