ID,AAA16334.1,sp|P02024.2|HBB_GORGO,sp|P02025.1|HBB_HYLLA,sp|P18983.2|HBB_AILME,sp|P02117.1|HBB_ANSAN,sp|P68945.1|HBB_CYGOL,AAA30913.1,NP_001091117.1,CAA25111.1,sp|P09422.1|HBB_BISBO
AAA16334.1,2.220446049250313e-16,0.0003189413345447978,0.002134040901335954,0.0030732577324480426,0.014113520582828887,0.013148242630180218,0.0059048111687564075,0.006301519874108541,0.004472969231263946,0.003598437833823298
sp|P02024.2|HBB_GORGO,0.0003189413345447978,0.0,0.0020653852419326713,0.0022704054907700666,0.016146103313919857,0.015254647899924922,0.006629062990980428,0.007541935813850098,0.004652389496116016,0.003907820089093406
sp|P02025.1|HBB_HYLLA,0.002134040901335954,0.0020653852419326713,2.220446049250313e-16,0.0029102325024796816,0.011655369720112385,0.01148950815664973,0.0036878464415086576,0.004719942881100336,0.003901153193302309,0.002834486137294534
sp|P18983.2|HBB_AILME,0.0030732577324480426,0.0022704054907700666,0.0029102325024796816,0.0,0.015154967666038854,0.014786127586628228,0.005968070673609938,0.007736723920987898,0.003751388879944084,0.004235911250494051
sp|P02117.1|HBB_ANSAN,0.014113520582828887,0.016146103313919857,0.011655369720112385,0.015154967666038854,0.0,0.0002935020764464058,0.007221027202907293,0.008120565143623693,0.010671306486015886,0.00940681800576304
sp|P68945.1|HBB_CYGOL,0.013148242630180218,0.015254647899924922,0.01148950815664973,0.014786127586628228,0.0002935020764464058,0.0,0.007303608641488379,0.008022201992645583,0.010371516340676012,0.009110211835924753
AAA30913.1,0.0059048111687564075,0.006629062990980428,0.0036878464415086576,0.005968070673609938,0.007221027202907293,0.007303608641488379,2.220446049250313e-16,0.0006386894340582039,0.002396854390299019,0.0014321517414735974
NP_001091117.1,0.006301519874108541,0.007541935813850098,0.004719942881100336,0.007736723920987898,0.008120565143623693,0.008022201992645583,0.0006386894340582039,0.0,0.0035557381004148736,0.002251423422199861
CAA25111.1,0.004472969231263946,0.004652389496116016,0.003901153193302309,0.003751388879944084,0.010671306486015886,0.010371516340676012,0.002396854390299019,0.0035557381004148736,0.0,0.0009639739539287762
sp|P09422.1|HBB_BISBO,0.003598437833823298,0.003907820089093406,0.002834486137294534,0.004235911250494051,0.00940681800576304,0.009110211835924753,0.0014321517414735974,0.002251423422199861,0.0009639739539287762,0.0
