ID,Human,Gorilla,Gibbon,G.Panda,Goose,Swan,Goat,Sheep,Bovine,Bison
Human,0.0,0.0005385740696208785,0.0012371985464707524,0.007147197113349768,0.18659778051644182,0.2065942193126351,0.03274813575810587,0.0264206331513116,0.022134256658999707,0.024334586590487373
Gorilla,0.0005385740696208785,0.0,0.0016682224581766603,0.005786849239276082,0.19141403735234386,0.21159656511891745,0.027895629307989278,0.023023109934739883,0.017632434102720862,0.01998479174748835
Gibbon,0.0012371985464707524,0.0016682224581766603,0.0,0.006302901520247817,0.18058549181477757,0.20076829858069312,0.029835291360146288,0.023114170044420734,0.020688240754895282,0.022380549216106327
G.Panda,0.007147197113349768,0.005786849239276082,0.006302901520247817,0.0,0.19146329964314346,0.21119191682818128,0.031661112728870955,0.02846115951682726,0.020561353539933935,0.02389778282054711
Goose,0.18659778051644182,0.19141403735234386,0.18058549181477757,0.19146329964314346,1.1102230246251565e-16,0.0014151169391311003,0.20681840556553976,0.19327909677295385,0.2072938151351671,0.20258548484568173
Swan,0.2065942193126351,0.21159656511891745,0.20076829858069312,0.21119191682818128,0.0014151169391311003,0.0,0.22836607741220616,0.2148122328840042,0.228351932455496,0.22392434045518794
Goat,0.03274813575810587,0.027895629307989278,0.029835291360146288,0.031661112728870955,0.20681840556553976,0.22836607741220616,0.0,0.001571177044930594,0.00293009770844066,0.0016818036407419967
Sheep,0.0264206331513116,0.023023109934739883,0.023114170044420734,0.02846115951682726,0.19327909677295385,0.2148122328840042,0.001571177044930594,0.0,0.004183178219638317,0.0024155440258154526
Bovine,0.022134256658999707,0.017632434102720862,0.020688240754895282,0.020561353539933935,0.2072938151351671,0.228351932455496,0.00293009770844066,0.004183178219638317,0.0,0.0007086282004876709
Bison,0.024334586590487373,0.01998479174748835,0.022380549216106327,0.02389778282054711,0.20258548484568173,0.22392434045518794,0.0016818036407419967,0.0024155440258154526,0.0007086282004876709,0.0
