ID,Human,Gorilla,Gibbon,G.Panda,Goose,Swan,Goat,Sheep,Bovine,Bison
Human,2.220446049250313e-16,0.0003189413345447978,0.002134040901335954,0.0030732577324480426,0.014113520582828887,0.013148242630180218,0.0059048111687564075,0.006301519874108541,0.004472969231263946,0.003598437833823298
Gorilla,0.0003189413345447978,0.0,0.0020653852419326713,0.0022704054907700666,0.016146103313919857,0.015254647899924922,0.006629062990980428,0.007541935813850098,0.004652389496116016,0.003907820089093406
Gibbon,0.002134040901335954,0.0020653852419326713,2.220446049250313e-16,0.0029102325024796816,0.011655369720112385,0.01148950815664973,0.0036878464415086576,0.004719942881100336,0.003901153193302309,0.002834486137294534
G.Panda,0.0030732577324480426,0.0022704054907700666,0.0029102325024796816,0.0,0.015154967666038854,0.014786127586628228,0.005968070673609938,0.007736723920987898,0.003751388879944084,0.004235911250494051
Goose,0.014113520582828887,0.016146103313919857,0.011655369720112385,0.015154967666038854,0.0,0.0002935020764464058,0.007221027202907293,0.008120565143623693,0.010671306486015886,0.00940681800576304
Swan,0.013148242630180218,0.015254647899924922,0.01148950815664973,0.014786127586628228,0.0002935020764464058,0.0,0.007303608641488379,0.008022201992645583,0.010371516340676012,0.009110211835924753
Goat,0.0059048111687564075,0.006629062990980428,0.0036878464415086576,0.005968070673609938,0.007221027202907293,0.007303608641488379,2.220446049250313e-16,0.0006386894340582039,0.002396854390299019,0.0014321517414735974
Sheep,0.006301519874108541,0.007541935813850098,0.004719942881100336,0.007736723920987898,0.008120565143623693,0.008022201992645583,0.0006386894340582039,0.0,0.0035557381004148736,0.002251423422199861
Bovine,0.004472969231263946,0.004652389496116016,0.003901153193302309,0.003751388879944084,0.010671306486015886,0.010371516340676012,0.002396854390299019,0.0035557381004148736,0.0,0.0009639739539287762
Bison,0.003598437833823298,0.003907820089093406,0.002834486137294534,0.004235911250494051,0.00940681800576304,0.009110211835924753,0.0014321517414735974,0.002251423422199861,0.0009639739539287762,0.0
